user_id,anchor,anchor_label,anchor_group,anchor_description,cosine_similarity,cosine_distance,n_anchor_terms,n_posts,label_majority,targets,channel_id,channel_title,group_label,corpus,source_kind,n_videos,similarity_zscore_within_anchor,distance_zscore_within_anchor
iran_news::UCLXo7UDZvByw2ixzpQCufnA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5668392181396484,0.43316078186035156,1,24,news,,UCLXo7UDZvByw2ixzpQCufnA,Vox,iran_news,iran,news,1,-1.9398857281710484,1.9398857281710893
iran_news::UCP6HGa63sBC7-KHtkme-p-g,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5693075060844421,0.43069249391555786,1,136,news,,UCP6HGa63sBC7-KHtkme-p-g,USA TODAY,iran_news,iran,news,6,-0.1245116745302988,0.12451167453033962
iran_news::UCYI_ychRnL7sJrG6PUSBpQA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5694892406463623,0.4305107593536377,1,350,news,,UCYI_ychRnL7sJrG6PUSBpQA,CBN News,iran_news,iran,news,3,0.009150287014958406,-0.00915028701491758
iran_news::UCZaT_X_mc0BI-djXOlfhqWQ,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5694787502288818,0.43052124977111816,1,369,news,,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,iran_news,iran,news,1,0.0014348048135922973,-0.00143480481355147
iran_news::UCcyq283he07B7_KUX07mmtA,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5693134069442749,0.4306865930557251,1,345,news,,UCcyq283he07B7_KUX07mmtA,Business Insider,iran_news,iran,news,1,-0.12017171579203036,0.12017171579207118
iran_news::UCg40OxZ1GYh3u3jBntB6DLg,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.570807695388794,0.42919230461120605,1,3566,news,,UCg40OxZ1GYh3u3jBntB6DLg,Forbes Breaking News,iran_news,iran,news,24,0.978846118232108,-0.9788461182320672
iran_news::UCrvhNP_lWuPIP6QZzJmM-bw,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5683640241622925,0.4316359758377075,1,1718,news,,UCrvhNP_lWuPIP6QZzJmM-bw,New York Post,iran_news,iran,news,1,-0.8184228550156633,0.8184228550157041
iran_news::UCupvZG-5ko_eiXAupbDfxWw,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5717287063598633,0.4282712936401367,1,25467,news,,UCupvZG-5ko_eiXAupbDfxWw,CNN,iran_news,iran,news,7,1.65623038513841,-1.656230385138369
iran_news::UCzuqE7-t13O4NIDYJfakrhw,trump,Trump,leader,Direct channel proximity to Trump-centered language.,0.5702114105224609,0.42978858947753906,1,1110,news,,UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,iran_news,iran,news,3,0.5402910958317299,-0.5402910958316891
iran_influencers::UC-3jIAlnQmbbVMV6gR7K8aQ,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6121432781219482,0.38785672187805176,1,5638,influencer,,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,iran_influencers,iran,influencer,13,-0.5909432334222945,0.5909432334223109
iran_influencers::UC1yBKRuGpC1tSM73A0ZjYjQ,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6118375658988953,0.38816243410110474,1,21922,influencer,,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,iran_influencers,iran,influencer,18,-0.681928497653211,0.6819284976532274
iran_influencers::UCCRNUa9EwvRXMYwUmDi3JtA,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6194455027580261,0.3805544972419739,1,100,influencer,,UCCRNUa9EwvRXMYwUmDi3JtA,Chad Prather,iran_influencers,iran,influencer,1,1.582325572620562,-1.5823255726205452
iran_influencers::UCD8YGIxFCnVqv-ZGqgtVWAg,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6121008396148682,0.38789916038513184,1,7609,influencer,,UCD8YGIxFCnVqv-ZGqgtVWAg,Erick Stakelbeck on TBN,iran_influencers,iran,influencer,8,-0.6035736697904779,0.6035736697904943
iran_influencers::UCG749Dj4V2fKa143f8sE60Q,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6119159460067749,0.3880840539932251,1,1807,influencer,,UCG749Dj4V2fKa143f8sE60Q,Tim Pool,iran_influencers,iran,influencer,1,-0.6586012170012993,0.6586012170013157
iran_influencers::UCJdKr0Bgd_5saZYqLCa9mng,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6113976240158081,0.3886023759841919,1,13385,influencer,,UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,iran_influencers,iran,influencer,7,-0.8128628387115839,0.8128628387116004
iran_influencers::UCLdP3jmBYe9lAZQbY6OSYjw,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6124966144561768,0.38750338554382324,1,15392,influencer,,UCLdP3jmBYe9lAZQbY6OSYjw,Benny Johnson,iran_influencers,iran,influencer,7,-0.48578420703101494,0.48578420703103137
iran_influencers::UCNNTZgxNQuBrhbO0VrG8woA,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6152353882789612,0.3847646117210388,1,409,influencer,,UCNNTZgxNQuBrhbO0VrG8woA,No Jumper,iran_influencers,iran,influencer,1,0.3293224231398531,-0.3293224231398365
iran_influencers::UCQANb2YPwAtK-IQJrLaaUFw,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6113216280937195,0.3886783719062805,1,2747,influencer,,UCQANb2YPwAtK-IQJrLaaUFw,Brian Tyler Cohen,iran_influencers,iran,influencer,3,-0.8354805442866314,0.8354805442866478
iran_influencers::UCaYw_yJ_YLPEv6zR2c7hgHA,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6136574745178223,0.38634252548217773,1,1507,influencer,,UCaYw_yJ_YLPEv6zR2c7hgHA,The Officer Tatum,iran_influencers,iran,influencer,3,-0.14029210210581905,0.14029210210583554
iran_influencers::UCeAACGXB76rAOON6aaY72-Q,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.6193193197250366,0.3806806802749634,1,91,influencer,,UCeAACGXB76rAOON6aaY72-Q,Keith Olbermann,iran_influencers,iran,influencer,1,1.5447713116775224,-1.5447713116775057
iran_influencers::UCfaIu2jO-fppCQV_lchCRIQ,biden,Biden,leader,Direct channel proximity to Biden-centered language.,0.611172080039978,0.388827919960022,1,737,influencer,,UCfaIu2jO-fppCQV_lchCRIQ,Charlie Kirk,iran_influencers,iran,influencer,1,-0.8799886409829405,0.8799886409829569
